image,name,age,crime,last_seen
000144.jpg,Akash Kumar,41,Assault,Dharwad
000145.jpg,Arjun Das,54,Vehicle Theft,Tumakuru
000146.jpg,Amit Shetty,27,Kidnapping,Shivamogga
000147.jpg,Arjun Verma,31,Cyber Crime,Udupi
000148.jpg,Manoj Patel,45,Robbery,Bangalore
000149.jpg,Prakash Das,44,Smuggling,Hubli
000150.jpg,Arjun Patel,22,Burglary,Udupi
000151.jpg,Deepak Verma,30,Forgery,Shivamogga
000152.jpg,Ravi Yadav,20,Burglary,Mangalore
000153.jpg,Rohan Nair,58,Theft,Bangalore
000154.jpg,Arjun Kumar,35,Smuggling,Belagavi
000155.jpg,Varun Sharma,45,Cyber Crime,Belagavi
000156.jpg,Nikhil Singh,29,Kidnapping,Dharwad
000157.jpg,Ajay Nair,49,Fraud,Shivamogga
000158.jpg,Karthik Gowda,43,Fraud,Udupi
000159.jpg,Kiran Verma,57,Robbery,Udupi
000160.jpg,Rahul Nair,58,Robbery,Mysore
000161.jpg,Ajay Gupta,34,Smuggling,Belagavi
000162.jpg,Ajay Kumar,30,Robbery,Udupi
000163.jpg,Amit Yadav,56,Fraud,Dharwad
000164.jpg,Kiran Kumar,39,Kidnapping,Bangalore
000165.jpg,Amit Yadav,39,Kidnapping,Shivamogga
000166.jpg,Vijay Verma,55,Theft,Dharwad
000167.jpg,Vivek Verma,26,Theft,Mysore
000168.jpg,Anil Kumar,58,Cyber Crime,Tumakuru
000169.jpg,Deepak Verma,40,Assault,Dharwad
000170.jpg,Vivek Nair,37,Fraud,Mysore
000171.jpg,Varun Rao,35,Theft,Bangalore
000172.jpg,Arjun Yadav,23,Cyber Crime,Udupi
000173.jpg,Nikhil Patel,59,Burglary,Dharwad
000174.jpg,Vivek Reddy,45,Forgery,Dharwad
000175.jpg,Varun Sharma,33,Burglary,Dharwad
000176.jpg,Rahul Yadav,50,Smuggling,Belagavi
000177.jpg,Akash Reddy,25,Fraud,Dharwad
000178.jpg,Prakash Joshi,42,Burglary,Udupi
000179.jpg,Anil Joshi,39,Kidnapping,Dharwad
000180.jpg,Kiran Joshi,47,Smuggling,Bangalore
000181.jpg,Nikhil Joshi,33,Cyber Crime,Dharwad
000182.jpg,Prakash Kumar,25,Smuggling,Udupi
000183.jpg,Varun Patel,32,Forgery,Dharwad
000184.jpg,Ravi Gupta,52,Burglary,Udupi
000185.jpg,Ajay Gupta,53,Cyber Crime,Kalaburagi
000186.jpg,Varun Naik,58,Assault,Mysore
000187.jpg,Arjun Reddy,30,Robbery,Bangalore
000188.jpg,Varun Patel,30,Assault,Shivamogga
000189.jpg,Rohan Shetty,55,Theft,Udupi
000190.jpg,Ajay Nair,51,Fraud,Kalaburagi
000191.jpg,Ajay Sharma,29,Assault,Bangalore
000192.jpg,Karthik Verma,42,Forgery,Mangalore
000193.jpg,Rahul Patel,48,Assault,Hubli
000194.jpg,Prakash Singh,60,Cyber Crime,Dharwad
000195.jpg,Vijay Das,31,Assault,Udupi
000196.jpg,Ravi Rao,42,Smuggling,Bangalore
000197.jpg,Karthik Shetty,57,Smuggling,Tumakuru
000198.jpg,Kiran Gupta,43,Burglary,Tumakuru
000199.jpg,Amit Joshi,36,Vehicle Theft,Dharwad
000200.jpg,Akash Gupta,26,Robbery,Mysore
000201.jpg,Amit Shetty,44,Robbery,Bangalore
000202.jpg,Deepak Das,22,Kidnapping,Dharwad
000203.jpg,Varun Verma,51,Cyber Crime,Mangalore
000204.jpg,Kiran Rao,34,Robbery,Udupi
000205.jpg,Varun Sharma,20,Burglary,Dharwad
000206.jpg,Akash Gupta,52,Burglary,Kalaburagi
000207.jpg,Deepak Rao,34,Smuggling,Udupi
000208.jpg,Ajay Kumar,46,Burglary,Hubli
000209.jpg,Sunil Yadav,44,Smuggling,Tumakuru
000210.jpg,Arjun Patel,33,Vehicle Theft,Kalaburagi
000211.jpg,Varun Gupta,45,Assault,Bangalore
000212.jpg,Rahul Yadav,52,Fraud,Udupi
000213.jpg,Rahul Kumar,33,Theft,Tumakuru
000214.jpg,Sunil Shetty,42,Burglary,Bangalore
000215.jpg,Nikhil Shetty,58,Vehicle Theft,Bangalore
000216.jpg,Ravi Kumar,23,Smuggling,Udupi
000217.jpg,Rahul Singh,43,Fraud,Kalaburagi
000218.jpg,Nikhil Gowda,37,Smuggling,Tumakuru
000219.jpg,Ravi Kumar,26,Smuggling,Shivamogga
000220.jpg,Sunil Sharma,45,Fraud,Hubli
000221.jpg,Akash Yadav,41,Vehicle Theft,Mangalore
000222.jpg,Arjun Rao,45,Robbery,Mangalore
000223.jpg,Manoj Gowda,31,Smuggling,Shivamogga
000224.jpg,Rahul Kumar,22,Robbery,Tumakuru
000225.jpg,Vivek Nair,40,Burglary,Mysore
000226.jpg,Ravi Reddy,35,Vehicle Theft,Bangalore
000227.jpg,Karthik Kumar,41,Kidnapping,Bangalore
000228.jpg,Varun Joshi,43,Vehicle Theft,Dharwad
000229.jpg,Nikhil Gowda,59,Smuggling,Tumakuru
000230.jpg,Nikhil Naik,53,Smuggling,Udupi
000231.jpg,Amit Sharma,23,Robbery,Shivamogga
000232.jpg,Nikhil Gupta,39,Forgery,Hubli
000233.jpg,Manoj Reddy,37,Forgery,Bangalore
000234.jpg,Akash Patel,28,Robbery,Udupi
000235.jpg,Prakash Singh,58,Cyber Crime,Mangalore
000236.jpg,Akash Nair,53,Assault,Belagavi
000237.jpg,Karthik Patel,45,Fraud,Belagavi
000238.jpg,Ravi Sharma,40,Assault,Udupi
000239.jpg,Nikhil Sharma,43,Smuggling,Bangalore
000240.jpg,Kiran Nair,29,Assault,Belagavi
000241.jpg,Anil Naik,57,Fraud,Hubli
000242.jpg,Manoj Gowda,25,Cyber Crime,Udupi
000243.jpg,Akash Verma,36,Vehicle Theft,Shivamogga
000244.jpg,Vivek Reddy,47,Robbery,Kalaburagi
000245.jpg,Ravi Joshi,52,Cyber Crime,Bangalore
000246.jpg,Arjun Verma,33,Fraud,Bangalore
000247.jpg,Prakash Singh,31,Smuggling,Udupi
000248.jpg,Mahesh Rao,46,Vehicle Theft,Bangalore
000249.jpg,Sunil Gupta,54,Fraud,Bangalore
000250.jpg,Deepak Yadav,37,Cyber Crime,Bangalore
000251.jpg,Prakash Shetty,60,Fraud,Udupi
000252.jpg,Karthik Singh,39,Robbery,Tumakuru
000253.jpg,Akash Patel,32,Burglary,Mysore
000254.jpg,Anil Verma,24,Fraud,Tumakuru
000255.jpg,Kiran Verma,33,Vehicle Theft,Bangalore
000256.jpg,Rohan Gupta,40,Smuggling,Udupi
000257.jpg,Karthik Kumar,41,Kidnapping,Mangalore
000258.jpg,Manoj Kumar,37,Cyber Crime,Belagavi
000259.jpg,Suresh Reddy,29,Forgery,Hubli
000260.jpg,Amit Naik,26,Fraud,Shivamogga
000261.jpg,Deepak Shetty,44,Assault,Udupi
000262.jpg,Vivek Sharma,52,Assault,Dharwad
000263.jpg,Rohan Rao,53,Smuggling,Mangalore
000264.jpg,Manoj Sharma,33,Vehicle Theft,Hubli
000265.jpg,Anil Gupta,47,Forgery,Mangalore
000266.jpg,Akash Shetty,43,Robbery,Bangalore
000267.jpg,Mahesh Nair,47,Cyber Crime,Hubli
000268.jpg,Deepak Sharma,32,Burglary,Udupi
000269.jpg,Ajay Verma,46,Vehicle Theft,Mangalore
000270.jpg,Mahesh Reddy,24,Cyber Crime,Hubli
000271.jpg,Ravi Verma,39,Robbery,Kalaburagi
000272.jpg,Ravi Joshi,32,Vehicle Theft,Tumakuru
000273.jpg,Akash Gowda,22,Assault,Tumakuru
000274.jpg,Rahul Gupta,48,Robbery,Mysore
000275.jpg,Vivek Singh,25,Fraud,Mysore
000276.jpg,Vijay Naik,30,Burglary,Bangalore
000277.jpg,Rohan Patel,29,Smuggling,Mangalore
000278.jpg,Amit Rao,26,Fraud,Mysore
000279.jpg,Anil Patel,40,Assault,Mysore
000280.jpg,Rohan Patel,54,Forgery,Shivamogga
000281.jpg,Mahesh Shetty,59,Cyber Crime,Kalaburagi
000282.jpg,Amit Verma,41,Assault,Belagavi
000283.jpg,Sunil Verma,38,Robbery,Bangalore
000284.jpg,Varun Joshi,32,Assault,Bangalore
000285.jpg,Sunil Joshi,20,Vehicle Theft,Kalaburagi
000286.jpg,Manoj Reddy,49,Cyber Crime,Shivamogga
000287.jpg,Sunil Kumar,39,Kidnapping,Bangalore
000288.jpg,Ravi Verma,24,Cyber Crime,Shivamogga
000289.jpg,Rahul Rao,49,Kidnapping,Kalaburagi
000290.jpg,Karthik Kumar,49,Forgery,Mangalore
000291.jpg,Rahul Gupta,42,Cyber Crime,Shivamogga
000292.jpg,Nikhil Joshi,56,Vehicle Theft,Mysore
000293.jpg,Kiran Naik,46,Forgery,Belagavi
000294.jpg,Manoj Shetty,43,Kidnapping,Tumakuru
000295.jpg,Karthik Naik,38,Assault,Shivamogga
000296.jpg,Vijay Verma,30,Assault,Udupi
000297.jpg,Kiran Naik,36,Smuggling,Mysore
000298.jpg,Ravi Yadav,32,Forgery,Udupi
000299.jpg,Vijay Gowda,26,Theft,Bangalore
000300.jpg,Varun Gowda,23,Smuggling,Hubli
000301.jpg,Sunil Joshi,38,Cyber Crime,Udupi
000302.jpg,Ravi Gowda,48,Theft,Shivamogga
000303.jpg,Karthik Nair,31,Robbery,Dharwad
000304.jpg,Manoj Nair,27,Theft,Dharwad
000305.jpg,Vijay Gowda,47,Kidnapping,Kalaburagi
000306.jpg,Nikhil Patel,31,Cyber Crime,Tumakuru
000307.jpg,Rohan Kumar,42,Kidnapping,Belagavi
000308.jpg,Deepak Rao,49,Fraud,Kalaburagi
000309.jpg,Vivek Nair,56,Forgery,Udupi
000310.jpg,Rohan Rao,59,Vehicle Theft,Mysore
000311.jpg,Mahesh Shetty,52,Vehicle Theft,Tumakuru
000312.jpg,Arjun Joshi,43,Burglary,Kalaburagi
000313.jpg,Suresh Shetty,35,Smuggling,Mysore
000314.jpg,Amit Yadav,23,Kidnapping,Bangalore
000315.jpg,Nikhil Kumar,60,Assault,Dharwad
000316.jpg,Akash Yadav,40,Fraud,Belagavi
000317.jpg,Mahesh Nair,22,Burglary,Mangalore
000318.jpg,Varun Yadav,27,Burglary,Kalaburagi
000319.jpg,Deepak Rao,29,Theft,Hubli
000320.jpg,Karthik Reddy,32,Theft,Mangalore
000321.jpg,Mahesh Rao,54,Vehicle Theft,Shivamogga
000322.jpg,Rahul Nair,35,Assault,Dharwad
000323.jpg,Vijay Reddy,40,Vehicle Theft,Mangalore
000324.jpg,Vivek Verma,43,Theft,Shivamogga
000325.jpg,Ravi Naik,21,Cyber Crime,Tumakuru
000326.jpg,Karthik Singh,24,Kidnapping,Udupi
000327.jpg,Anil Sharma,28,Forgery,Hubli
000328.jpg,Prakash Rao,37,Forgery,Hubli
000329.jpg,Ajay Yadav,53,Burglary,Mangalore
000330.jpg,Ajay Nair,46,Vehicle Theft,Tumakuru
000331.jpg,Rahul Joshi,34,Burglary,Dharwad
000332.jpg,Amit Gupta,36,Cyber Crime,Bangalore
000333.jpg,Nikhil Sharma,30,Smuggling,Bangalore
000334.jpg,Manoj Sharma,40,Assault,Mysore
000335.jpg,Sunil Rao,44,Smuggling,Kalaburagi
000336.jpg,Rahul Singh,33,Theft,Mangalore
000337.jpg,Rohan Nair,23,Theft,Udupi
000338.jpg,Prakash Reddy,22,Cyber Crime,Mangalore
000339.jpg,Rohan Singh,24,Theft,Mangalore
000340.jpg,Sunil Sharma,31,Theft,Dharwad
000341.jpg,Ajay Yadav,38,Smuggling,Shivamogga
000342.jpg,Arjun Kumar,58,Assault,Udupi
000343.jpg,Karthik Rao,28,Assault,Udupi
000344.jpg,Arjun Shetty,28,Fraud,Kalaburagi
000345.jpg,Arjun Shetty,27,Fraud,Udupi
000346.jpg,Arjun Das,28,Robbery,Dharwad
000347.jpg,Nikhil Singh,58,Robbery,Tumakuru
000348.jpg,Kiran Verma,59,Forgery,Hubli
000349.jpg,Deepak Gowda,48,Kidnapping,Belagavi
000350.jpg,Rohan Sharma,25,Vehicle Theft,Shivamogga
000351.jpg,Nikhil Rao,20,Robbery,Dharwad
000352.jpg,Manoj Sharma,59,Robbery,Hubli
000353.jpg,Sunil Patel,36,Robbery,Mysore
000354.jpg,Sunil Gowda,35,Robbery,Mangalore
000355.jpg,Vijay Gowda,52,Vehicle Theft,Udupi
000356.jpg,Kiran Sharma,56,Vehicle Theft,Belagavi
000357.jpg,Deepak Gowda,40,Forgery,Mangalore
000358.jpg,Karthik Sharma,24,Fraud,Mysore
000359.jpg,Vivek Nair,40,Fraud,Udupi
000360.jpg,Rahul Reddy,20,Burglary,Belagavi
000361.jpg,Amit Singh,21,Kidnapping,Belagavi
000362.jpg,Ajay Patel,59,Burglary,Belagavi
000363.jpg,Ravi Naik,29,Forgery,Tumakuru
000364.jpg,Varun Das,47,Theft,Bangalore
000365.jpg,Suresh Das,51,Vehicle Theft,Mysore
000366.jpg,Deepak Rao,34,Forgery,Kalaburagi
000367.jpg,Karthik Verma,59,Burglary,Shivamogga
000368.jpg,Anil Reddy,49,Forgery,Kalaburagi
000369.jpg,Rahul Gowda,56,Robbery,Mysore
000370.jpg,Mahesh Gowda,56,Vehicle Theft,Mysore
000371.jpg,Deepak Kumar,49,Burglary,Shivamogga
000372.jpg,Karthik Joshi,53,Fraud,Udupi
000373.jpg,Akash Reddy,29,Robbery,Mangalore
000374.jpg,Ajay Shetty,48,Fraud,Belagavi
000375.jpg,Suresh Nair,42,Fraud,Bangalore
000376.jpg,Nikhil Patel,36,Robbery,Mangalore
000377.jpg,Suresh Naik,41,Forgery,Bangalore
000378.jpg,Karthik Naik,36,Forgery,Kalaburagi
000379.jpg,Sunil Kumar,59,Burglary,Bangalore
000380.jpg,Manoj Rao,52,Assault,Kalaburagi
000381.jpg,Amit Naik,58,Robbery,Udupi
000382.jpg,Suresh Gupta,43,Kidnapping,Bangalore
000383.jpg,Vijay Singh,36,Robbery,Mangalore
000384.jpg,Anil Joshi,52,Burglary,Mangalore
000385.jpg,Ravi Joshi,49,Smuggling,Hubli
000386.jpg,Akash Yadav,53,Theft,Udupi
000387.jpg,Prakash Nair,42,Robbery,Kalaburagi
000388.jpg,Amit Nair,46,Kidnapping,Udupi
000389.jpg,Vivek Gupta,33,Vehicle Theft,Mangalore
000390.jpg,Akash Kumar,28,Robbery,Tumakuru
000391.jpg,Sunil Patel,49,Vehicle Theft,Mysore
000392.jpg,Manoj Gupta,27,Vehicle Theft,Dharwad
000393.jpg,Vijay Reddy,22,Vehicle Theft,Mangalore
000394.jpg,Anil Singh,49,Robbery,Mysore
000395.jpg,Varun Rao,26,Smuggling,Kalaburagi
000396.jpg,Ajay Gowda,21,Smuggling,Kalaburagi
000397.jpg,Kiran Gupta,22,Kidnapping,Bangalore
000398.jpg,Karthik Reddy,39,Vehicle Theft,Kalaburagi
000399.jpg,Anil Joshi,22,Assault,Hubli
000400.jpg,Amit Nair,42,Theft,Belagavi
000401.jpg,Sunil Reddy,54,Fraud,Kalaburagi
000402.jpg,Rohan Singh,44,Assault,Kalaburagi
000403.jpg,Akash Sharma,60,Theft,Shivamogga
000404.jpg,Mahesh Sharma,51,Cyber Crime,Mysore
000405.jpg,Rohan Kumar,57,Fraud,Tumakuru
000406.jpg,Arjun Rao,52,Smuggling,Hubli
000407.jpg,Sunil Kumar,59,Cyber Crime,Dharwad
000408.jpg,Sunil Patel,41,Robbery,Tumakuru
000409.jpg,Kiran Naik,53,Theft,Udupi
000410.jpg,Varun Kumar,42,Kidnapping,Belagavi
000411.jpg,Nikhil Naik,36,Smuggling,Dharwad
000412.jpg,Anil Naik,38,Smuggling,Udupi
000413.jpg,Kiran Sharma,23,Assault,Udupi
000414.jpg,Rohan Reddy,43,Vehicle Theft,Tumakuru
000415.jpg,Anil Yadav,25,Forgery,Tumakuru
000416.jpg,Vijay Joshi,59,Smuggling,Kalaburagi
000417.jpg,Vivek Kumar,36,Robbery,Dharwad
000418.jpg,Arjun Kumar,38,Vehicle Theft,Bangalore
000419.jpg,Ravi Shetty,55,Vehicle Theft,Hubli
000420.jpg,Kiran Patel,25,Robbery,Dharwad
000421.jpg,Akash Gupta,47,Fraud,Kalaburagi
000422.jpg,Nikhil Nair,41,Kidnapping,Dharwad
000423.jpg,Anil Joshi,41,Smuggling,Dharwad
000424.jpg,Vivek Sharma,54,Robbery,Mangalore
000425.jpg,Vijay Yadav,24,Smuggling,Udupi
000426.jpg,Karthik Das,31,Fraud,Mysore
000427.jpg,Anil Yadav,43,Forgery,Bangalore
000428.jpg,Varun Joshi,49,Burglary,Belagavi
000429.jpg,Rohan Rao,48,Smuggling,Hubli
000430.jpg,Deepak Verma,39,Robbery,Mangalore
000431.jpg,Amit Nair,49,Burglary,Bangalore
000432.jpg,Suresh Gowda,49,Cyber Crime,Tumakuru
000433.jpg,Rahul Patel,27,Assault,Bangalore
000434.jpg,Deepak Singh,38,Assault,Udupi
000435.jpg,Vivek Singh,53,Smuggling,Shivamogga
000436.jpg,Varun Yadav,58,Theft,Mangalore
000437.jpg,Rahul Joshi,28,Theft,Dharwad
000438.jpg,Rohan Gupta,31,Theft,Bangalore
000439.jpg,Amit Verma,40,Cyber Crime,Mysore
000440.jpg,Anil Singh,42,Kidnapping,Udupi
000441.jpg,Mahesh Yadav,53,Cyber Crime,Mysore
000442.jpg,Arjun Das,27,Fraud,Shivamogga
000443.jpg,Prakash Shetty,37,Forgery,Kalaburagi
000444.jpg,Varun Patel,38,Smuggling,Udupi
000445.jpg,Suresh Reddy,27,Assault,Dharwad
000446.jpg,Karthik Gupta,34,Robbery,Dharwad
000447.jpg,Ajay Gupta,27,Cyber Crime,Tumakuru
000448.jpg,Rahul Naik,47,Robbery,Shivamogga
000449.jpg,Varun Das,52,Assault,Udupi
000450.jpg,Kiran Yadav,52,Vehicle Theft,Mysore
000451.jpg,Mahesh Rao,52,Fraud,Bangalore
000452.jpg,Rahul Reddy,23,Burglary,Mangalore
000453.jpg,Deepak Verma,42,Burglary,Dharwad
000454.jpg,Amit Naik,39,Vehicle Theft,Kalaburagi
000455.jpg,Arjun Verma,45,Smuggling,Bangalore
000456.jpg,Rohan Nair,20,Smuggling,Tumakuru
000457.jpg,Manoj Kumar,45,Theft,Bangalore
000458.jpg,Rahul Gowda,48,Forgery,Mysore
000459.jpg,Vijay Das,30,Vehicle Theft,Belagavi
000460.jpg,Manoj Das,58,Kidnapping,Hubli
000461.jpg,Vijay Naik,31,Theft,Tumakuru
000462.jpg,Anil Rao,46,Vehicle Theft,Kalaburagi
000463.jpg,Sunil Kumar,53,Burglary,Mysore
000464.jpg,Kiran Naik,29,Forgery,Shivamogga
000465.jpg,Prakash Rao,29,Assault,Mysore
000466.jpg,Rohan Rao,31,Cyber Crime,Dharwad
000467.jpg,Rohan Shetty,47,Cyber Crime,Mysore
000468.jpg,Ajay Nair,37,Kidnapping,Bangalore
000469.jpg,Varun Reddy,43,Kidnapping,Belagavi
000470.jpg,Mahesh Shetty,37,Smuggling,Tumakuru
000471.jpg,Nikhil Gupta,26,Smuggling,Hubli
000472.jpg,Amit Yadav,24,Fraud,Dharwad
000473.jpg,Ravi Verma,31,Robbery,Dharwad
000474.jpg,Vijay Rao,32,Robbery,Mangalore
000475.jpg,Karthik Joshi,35,Forgery,Hubli
000476.jpg,Ajay Patel,27,Kidnapping,Shivamogga
000477.jpg,Ravi Singh,57,Theft,Tumakuru
